codice_istat,nome_comune,lat,lon
28044,Legnaro,45.34291075257334,11.967771685526113
29029,Lendinara,45.081048062015356,11.582930902754395
25029,Limana,46.06650789228636,12.213295734396565
28045,Limena,45.47811546015694,11.830402015302228
25030,Livinallongo del Col di Lana,46.50192555053716,11.925383435232007
24051,Longare,45.47176724389622,11.597751920825319
25071,Longarone,46.26886783667206,12.23947619171224
24052,Lonigo,45.387644389652884,11.391925013810301
28046,Loreggia,45.59903073932587,11.942044089602714
25032,Lorenzago di Cadore,46.455161817479436,12.494730880772138
29030,Loreo,45.06560767899018,12.184053775812716
26036,Loria,45.71237178780065,11.850769157657732
28047,Lozzo Atestino,45.28751544990847,11.608186150170882
25033,Lozzo di Cadore,46.50451051897729,12.422006256110368
24053,Lugo di Vicenza,45.777072890850896,11.533054563202729
29031,Lusia,45.09352576241218,11.659907578313108
24127,Lusiana Conco,45.804689071674645,11.59580104109623
23045,Malcesine,45.769298974353134,10.831377140671236
24055,Malo,45.649887236842595,11.431945077226125
26037,MansuÃ¨,45.827026854288306,12.526065600877589
24056,Marano Vicentino,45.69632164147075,11.43370485879409
23046,Marano di Valpolicella,45.556928973780714,10.911669263332657
27020,Marcon,45.554105162246266,12.330148920074764
26038,Mareno di Piave,45.83003603227472,12.3265073658747
24057,Marostica,45.75014878548764,11.658595699186986
27021,Martellago,45.53848333887726,12.15909177336958
26039,Maser,45.80007432712044,11.95803510312765
26040,Maserada sul Piave,45.752157332871825,12.340732633825484
28048,MaserÃ  di Padova,45.30851668956684,11.882699004529677
28049,Masi,45.12525630227261,11.504012428543424
28050,Massanzago,45.54485542626542,12.019258847853331
26041,Meduna di Livenza,45.81050531456949,12.625917106262301
28052,Megliadino San Vitale,45.17800424389581,11.52777782988134
29032,Melara,45.078846718548085,11.208652814132565
27022,Meolo,45.608506506663666,12.462548474295811
28053,Merlara,45.163586239537196,11.454344744152555
28054,Mestrino,45.4527734719144,11.747272961068115
23047,Mezzane di Sotto,45.490125950039314,11.120530150588598
26042,Miane,45.94353967521855,12.086949691997962
23048,Minerbe,45.246428178993106,11.347174805108597
27023,Mira,45.41118777254078,12.194031679824041
27024,Mirano,45.48808995319452,12.085812770088753
26043,Mogliano Veneto,45.566984712369134,12.24468861384189
26044,Monastier di Treviso,45.66420372875821,12.433357167178455
26045,Monfumo,45.83607764557242,11.934017509580869
28055,Monselice,45.236859198381914,11.759933983389287
28056,Montagnana,45.23469723849703,11.453438422037221
24063,Monte di Malo,45.64742536258946,11.367284824909708
24060,Montebello Vicentino,45.45824898934112,11.385218322483874
26046,Montebelluna,45.76847195381686,12.047463292849052
23049,Montecchia di Crosara,45.47531110526309,11.251680779697104
24061,Montecchio Maggiore,45.52031043963492,11.40181076548265
24062,Montecchio Precalcino,45.669684350849096,11.541389979413871
23050,Monteforte d'Alpone,45.436529566545154,11.29035322080985
24064,Montegalda,45.45638410045349,11.670070754339655
24065,Montegaldella,45.434385586776735,11.659701091281471
28057,Montegrotto Terme,45.32391261966699,11.785252887259286
24066,Monteviale,45.56067305360545,11.467834928472401
24067,Monticello Conte Otto,45.60181901306794,11.582245300548049
24068,Montorso Vicentino,45.49187018365703,11.35556198578853
